type,name,Y,X,name_en
成層火山,富士山,138.730781,35.362799,Mount Fuji
成層火山,マヨン山,123.68588,13.25576,Mayon Volcano
楯状火山,マウナ・ロア山,-155.5923741,19.4717348,Mauna Loa
楯状火山,マウナ・ケア,-155.4680379,19.8206888,K_lauea
カルデラ,阿蘇山,131.0856638,32.8848462,Mount Aso
カルデラ,洞爺湖,140.853,42.6015,Toya-ko
カルデラ,タウポ湖,175.9086,-38.8071,Lake Taupo
カルデラ,ンゴロンゴロ保全地域,35.5627,-3.1865,Ngorongoro Conservation Area
溶岩円頂丘,昭和新山,140.8644,42.54255,Showa-shinzan
溶岩円頂丘,雲仙岳,130.2916464,32.7618964,Mt. Unzen
溶岩円頂丘,ラッセン山,-121.50492,40.4881308,Lassen Peak
溶岩円頂丘,妙高山,138.1133581,36.8912785,Mount Myoko
火山砕屑丘,大室山,139.0948,34.9033,Omuro-yama
火山砕屑丘,米塚,131.0439,32.9054,Komeduka
火山砕屑丘,ダイヤモンドヘッド,-157.8057,21.2621,Diamond Head
溶岩台地,デカン高原,76.992,13.87,Deccan Plateau
溶岩台地,弥陀ヶ原,137.5573721,36.567489,Midagahara
溶岩台地,コロンビア台地,-121.009,46.461,Columbia Plateau
火砕流台地,シラス台地,130.9062,31.6119,Shirasu-Daichi
爆裂火口,磐梯山,140.0722448,37.6009797,Mt. Bandai
マール,米丸,130.5644,31.7761,Yonemaru
マール,デビルマウンテンレイクス,-164.4722,66.3653,Devil Mountain Lakes
マール,シャルケンメーレナー・マール,6.8583,50.1696,Schalkenmehrener Maar
