class,name,Y,X,name_en
海岸平野,越後平野,139.019282,37.818863,Echigo
海岸平野,九十九里浜,140.462306,35.538706,Kujukuri
海岸平野,エバーグレーズ（大西洋海岸平野）,-80.189534,25.953397,Everglades
砂州、砂嘴、陸繋島,天橋立,135.190951,35.568186,Amanohashidate
砂州、砂嘴、陸繋島,クルシュー砂州,20.865946,55.177653,Curonian Spit
砂州、砂嘴、陸繋島,アラバト・スピット（黒海）,35.069089,45.641458,Arabat Spit
砂州、砂嘴、陸繋島,野付半島,145.319049,43.597399,Notsuke
砂州、砂嘴、陸繋島,三保の松原,138.519003,35.003566,Mihonomatsubara
砂州、砂嘴、陸繋島,ケープコッド,-70.155717,41.663765,Cape Cod
砂州、砂嘴、陸繋島,ダンジネス・スピット,-123.129272,48.177763,Dungeness Spit
砂州、砂嘴、陸繋島,函館,140.725615,41.767348,Hakodate
砂州、砂嘴、陸繋島,串本,135.779192,33.46593,Kushimoto
砂州、砂嘴、陸繋島,モン・サン・ミッシェル,-1.5112,48.6358,Mont Saint-Michel
砂州、砂嘴、陸繋島,ラングラード島,-56.326904,46.884053,Langlade
海跡湖,湖山池,134.150216,35.505885,Koyama
海跡湖,サロマ湖,143.808319,44.139665,Saroma
海跡湖,ヴェネツィアの潟,12.268911,45.293346,Laguna Veneta
海跡湖,ソンクラー湖,100.4892,7.1918,Songkhla Lake
干潟 ,ベームスター干拓地,4.921875,52.666227,Beemster
干潟 ,テムズ川,0.580722,51.492769,River Thames
干潟 ,セマングム,126.610167,35.837855,Saemangeum
干潟 ,有明海,130.259399,33.163134,Ariake
干潟 ,盤州干潟,139.896015,35.414929,Banzu
海岸砂丘,鳥取砂丘,134.227774,35.541445,Tottori
海岸砂丘,中田島砂丘,137.740615,34.659879,Nakatajima
海岸砂丘,オレゴン砂丘,-124.189453,43.659924,Oregon Dunes
海岸砂丘,ピラ砂丘,-1.215083,44.58804,Dune of Pilat
海岸段丘,室戸,134.087811,33.341929,Muroto
海岸段丘,御前崎,138.203646,34.609597,Omaezaki
海岸段丘,Tongue Point（ニュージーランド）,174.664138,-41.338072,Tongue Point
海岸段丘,サンタクルーズ（アメリカ）,-122.006149,36.971838,Santa Cruz
海食崖、波食棚,屏風ヶ浦,140.787927,35.70579,Byoubugaura
海食崖、波食棚,ドーバーの白い崖（イギリス）,1.3694,51.138,White Cliffs of Dover
海食崖、波食棚,モハーの断崖（アイルランド）,-9.387712,53.024441,Cliffs of Moher
海食崖、波食棚,青島,131.477922,31.805524,Aoshima
海食崖、波食棚,Southerndown（イギリス）,-3.612552,51.448672,Southerndown
リアス海岸,ガリシア地方,-8.792605,42.625693,Galicia
リアス海岸,三陸海岸,141.863022,39.14083,Sanriku
リアス海岸,サンフランシスコ,-122.361946,37.812365,San Francisco
リアス海岸,シドニー,151.182442,-33.993275,Sydney
三角江,セントローレンス川,-66.84494,49.325471,St. Lawrence River
三角江,ラプラタ川,-56.777764,-35.124028,La Plata River 
三角江,セーヌ川,-1.592764,48.677927,Seine
三角江,エルベ川,8.811923,53.936183,Elbe
サンゴ礁,グレートバリアリーフ,150.589238,-20.641316,Great Barrier Reef
サンゴ礁,ニューカレドニアバリアリーフ,164.5664,-20.4119,New Caledonian barrier reef
サンゴ礁,南鳥島,153.9816,24.2862,Minamitorishima
サンゴ礁,フヴァドゥ環礁,73.2919,0.4899,Huvadhu Atoll
サンゴ礁,アタフ島,-172.496,-8.5578,Atafu
サンゴ礁,父島,142.180739,27.05896,ChiChi-jima
