class,name,Y,X,name_en
砂漠,ゴビ砂漠,103.43,42.59,Gobi
砂漠,シリア砂漠,38.8333,33.3333,Syrian Desert
砂漠,タール砂漠,71.001667,26.984444,Thar Desert
砂漠,タクラマカン砂漠,82.2,38.9,Taklamakan Desert
砂漠,カヴィール砂漠,54.8271,34.737556,Dasht-e Kavir
砂漠,ルブアルハリ砂漠,50,20,Rub' al Khali
砂漠,アタカマ砂漠,-69.25,-24.5,Atacama Desert
砂漠,グレートベースン砂漠,-109.586445,37.407431,Great Basin Desert
砂漠,コロラド砂漠,-115.032421,32.839231,Colorado Desert
砂漠,モハーヴェ砂漠,-115.475,35.008333,Mojave Desert
砂漠,カラハリ砂漠,22,-23,Kalahari Desert
砂漠,サハラ砂漠,13,23,Sahara Desert
砂漠,ナミブ砂漠,15.276389,-24.751944,Namib
砂漠,グレートビクトリア砂漠,129.26,-29.15,Great Victoria Desert
砂漠,タナミ砂漠,130,-20,Tanami Desert
メサ、ビュート,モニュメント・バレー,-110.1,36.983333,Monument Valley
ワジ,ワディ・ラム,35.419928,29.5765,Wadi Rum
ワジ,アラビア半島のワジ,45.136691,18.948828,A_Wadi
ワジ,サハラ砂漠東部のワジ,33.686888,20.328322,S_Wadi
オアシス,敦煌,94.6619,40.1421,Dunhuang
オアシス,シワ,25.55,29.183333,Siwa Oasis
オアシス,Tabas,56.924444,33.595833,Tabas
オアシス,Al-Ain Oasis,55.762,24.217,Al-Ain Oasis
オアシス,Taghit,-2.033333,30.916667,Taghit
オアシス,カシュガル,75.983333,39.466667,Kashgar
塩湖,カスピ海,50.666667,41.666667,Caspian Sea
塩湖,バルハシ湖(東）,74.333333,46.166667,Lake Balkhash
塩湖,グレートソルト湖,-112.583333,41.166667,Great Salt Lake
塩湖,死海,35.5,31.5,Dead Sea
塩湖,マカディカディ塩湖,24.950833,-20.716667,Makgadikgadi Pan
塩湖,ウユニ塩湖,-67.423611,-20.059722,Uyuni
