class,name,Y,X,name_en
氷河,パステルツェ氷河（オーストリア）,12.7233,47.0856,Pasterze
氷河,メール・ド・グラース氷河（フランス）,6.937222,45.913333,Mer de Glace
氷河,ヴァトナ氷河(アイスランド),-16.804,64.4,Vatna Glacier
氷河,ロンブク氷河(中国),86.865242,28.102,Rongbuk Glacier
氷河,ペリト・モレノ氷河（アルゼンチン）,-73.05,-50.483333,Perito Moreno Glacier
氷河,フランツ・ジョセフ氷河(ニュージーランド）,170.191667,-43.466944,Franz Josef Glacier
氷河,アサバスカ氷河（カナダ）,-117.255278,52.190833,Athabasca Glacier
氷河,グレイシャー国立公園（アメリカ）,-114.0244,48.8146,Glacier National Park
氷河,ボンダスブリーン氷河（ノルウェー）,6.313889,60.056667,Bondhusbreen
氷河,ガンゴートリー氷河（インド）,79.166667,30.833333,Gangotri Glacier
氷河,レブマン氷河（タンザニア）,37.363056,-3.081111,Rebmann Glacier
ホーン、カール,マッターホルン,7.66,45.9779,Matterhorn
ホーン、カール,槍ヶ岳,137.647705,36.342076,Yarigatake
ホーン、カール,ノース・カスケード国立公園,-121.3475,48.8328,North Cascades National Park
ホーン、カール,アスラットハイルハン山,107.410121,48.47804,Asralt Khairkhan
モレーン、エスカー、ドラムリン,トロールガーデン,6.5825,59.3011,Trollgarden
モレーン、エスカー、ドラムリン,モレーン湖（カナダ）,-116.1856,51.3225,Moraine Lake
モレーン、エスカー、ドラムリン,Great Esker Park,-70.929722,42.236667,Great Esker Park
モレーン、エスカー、ドラムリン,Eberfinger Drumlinfeld,11.204045,47.84362,Eberfinger Drumlinfeld
モレーン、エスカー、ドラムリン,ウェストポート（アイルランド）,-9.56873,53.87389,Westport
モレーン、エスカー、ドラムリン,Raderach（ドイツ）,9.442982,47.694536,Raderach
フィヨルド,西ノルウェーフィヨルド群,7.129,62.121,West Norwegian Fjords
フィヨルド,マリアガー・フィヨルド（デンマーク）,10.222583,56.700915,Mariager Fjord
フィヨルド,パタゴニア地方（チリ南部）,-72.738313,-50.263601,Patagonia
フィヨルド,グリーンランド,-39.351999,73.235868,Greenland
フィヨルド,ミルフォード・サウンド（ニュージーランド）,167.9056,-44.6481,Milford Sound
フィヨルド,ミスティ・フィヨルド（アラスカ）,-130.9072,55.6217,Misty Fiords 
羊背岩、迷子石,セントラルパーク,-73.974617,40.770612,Central Park
羊背岩、迷子石,ヨセミテ国立公園,-119.346823,37.88187,Yosemite National Park
羊背岩、迷子石,Fourstones（イギリス）,-2.5064,54.0915,The Great Stone of Fourstones
